customer_id,customer_name,pet_name,pet_type,pet_birthday
0,Patrick White,Chad,Rottweiler,2017/03/30
1,Cory Chan,Michael,German Shepherd,2023/11/11
2,Matthew Thomas,Sharon,Beagle,2012/11/12
3,Pamela King,Nicholas,Bulldog,2021/12/19
4,Jason Pearson,Debra,Labrador Retriever,2024/03/10
5,Dale Matthews,Christopher,Rottweiler,2009/05/15
6,Stephanie Roberts,Stephanie,Dachshund,2015/10/20
7,Heather Foster,Erica,Pug,2019/04/07
8,Bryan Walls,Glenda,German Shepherd,2013/12/31
9,Dr. Christine James,Hayley,Poodle,2011/07/10
10,Rebecca Smith,Jennifer,German Shepherd,2015/07/14
11,Carl Harrison,Christina,Pug,2011/09/03
12,Jaime Sloan,Matthew,Pug,2016/03/14
13,Walter Johnson,Michael,German Shepherd,2019/02/28
14,Debra Lewis,Bailey,Dachshund,2024/06/05
15,Jeffrey Mahoney,Alyssa,Beagle,2023/01/22
16,Edward Morales,Joseph,Bulldog,2017/07/09
17,Angela Miller,Kristin,Chihuahua,2013/07/01
18,Suzanne Tyler,Brian,Beagle,2011/04/20
19,Dawn Daniel,Katie,Chihuahua,2009/04/01
20,Ryan Martin,Lynn,German Shepherd,2016/08/30
21,Joel Santos,Jennifer,Bulldog,2024/10/12
22,Sheila Allen,Kristen,Beagle,2012/05/10
23,James Fisher,William,Chihuahua,2009/09/02
24,Molly Long MD,Amanda,Beagle,2014/10/12
25,Samuel Anthony,William,Dachshund,2024/01/26
26,Kimberly Brown,Carolyn,German Shepherd,2018/02/13
27,David Duran,Bruce,Chihuahua,2012/07/18
28,Albert Martinez,Hayley,Chihuahua,2019/09/06
29,Deborah Dean,Sandra,Golden Retriever,2012/02/29
30,Monica Scott,Emily,Bulldog,2009/01/03
31,Keith Smith,Michael,Dachshund,2018/02/10
32,Kim Barrera,Nicole,Dachshund,2009/01/19
33,Adriana Walker,Jacob,Rottweiler,2009/12/06
34,Jessica Cantu,Michele,Chihuahua,2023/02/06
35,Patrick Oneal,Mercedes,Dachshund,2012/02/20
36,Gary Krueger,Mallory,German Shepherd,2023/04/21
37,Kelly Cardenas,Bill,Poodle,2015/09/21
38,Justin Arnold,Damon,Poodle,2022/06/24
39,Tiffany Mcclure,James,Chihuahua,2009/11/04
40,Joy Porter,William,Beagle,2017/02/12
41,Kelly Logan,Barry,Golden Retriever,2018/09/21
42,Brenda Campos,Nathan,Golden Retriever,2016/11/13
43,Tiffany Tyler,Lydia,Dachshund,2010/06/01
44,Daniel Liu,Kenneth,Rottweiler,2022/07/01
45,David Parker,Wesley,Beagle,2013/09/13
46,Elizabeth Rojas,Carolyn,Golden Retriever,2013/02/08
47,David Lewis,Laurie,Poodle,2009/09/18
48,Valerie Crawford,Michael,German Shepherd,2022/02/25
49,Courtney Owen,Lisa,Golden Retriever,2017/05/04
50,Kayla Davila,Taylor,Pug,2009/06/15
51,Richard Moore,Perry,Labrador Retriever,2014/06/06
52,Theresa Perez,Jason,Bulldog,2023/12/12
53,Steven Patterson,Monique,Dachshund,2016/08/09
54,Samantha Peterson,John,Labrador Retriever,2024/10/08
55,Jamie Carter,Kurt,Dachshund,2017/02/17
56,Pamela Harris,Miguel,Poodle,2024/04/18
57,Sheri Clarke,Kyle,Golden Retriever,2016/04/02
58,Brittany Williams,Katie,German Shepherd,2017/09/04
59,Andrew Bush,Kelsey,Golden Retriever,2014/01/18
60,Charles Williams,Brian,Labrador Retriever,2016/06/21
61,Rachel Zhang,Brittany,German Shepherd,2014/12/28
62,Dr. Laura Riley MD,John,Pug,2019/12/01
